,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24
count,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0
mean,3.191937499540069,1.0912566501740835,0.0002862204545111106,7.916655462954871,0.6830365299476938,0.05350453213464573,0.4150288588092839,3.3553073926615516e-05,7.372605788282228,0.13835665083420828,3.71093115873275,0.10524111312047,0.16760622356670984,0.48446086137210953,7.051917880011324e-05,0.0634401663793434,0.0020132326128035347,0.08005175586022324,0.15874852558327038,1.3612610150825175,0.07542497808981616,0.16335561536679463,0.11433846464467387,5.1716440583296395
std,7.748848837182906,0.6788005414250932,0.001587496814073562,2.3428506276092196,0.683655801655389,0.10889286722273867,0.25741004330850753,0.00016526996904295995,27.132070960330793,0.11569894749238557,1.1257022426452554,0.2060067845830026,0.1319010267905215,0.44652942128770906,0.00036854962064137474,0.12706560679204887,0.005884874975596474,0.075832188410279,0.15386481329179422,0.16157099851199153,0.09703569588184448,0.21667809581728828,0.6681174647220076,3.4059084464045295
min,-13.217049832729982,0.024818062782287598,5.426066817444495e-08,1.2931780699652256,-2.3995964262128924,-0.47644240888696754,-0.6727368991745285,1.0744354711236932e-09,1.4160786675266126,0.0024438602141712345,0.5166737723410252,-0.9357487438940296,-0.4994788890802475,-1.6042691818959818,6.053606959039028e-09,-0.9558198811959423,8.720694765579939e-07,0.0011353492736816406,-0.7931156580033631,1.1079643039044227,-0.3488156900447794,-0.8947536622110202,-3.2583958403850786,1.255218465933451
25%,-3.638552780321742,0.47640979290008545,1.1051083257822106e-06,6.0240052686284,0.3700661539040183,0.0004495254370485642,0.27586081298238896,4.702144207820955e-08,3.396338123598984,0.05724328411821351,2.8397201996596024,-0.016981949736754428,0.1000585095258131,0.27332781157879327,1.6621353791658848e-07,0.01007799063922874,0.00016338933052209426,0.0315399169921875,0.07571436489421038,1.278947804396794,0.023341552626050265,0.0548675101272595,-0.10191153380963941,3.387015092439893
50%,0.7302250172897035,0.9280121922492981,5.972953817608678e-06,7.466977617847297,0.7967085716838838,0.06419295035437594,0.4075933903060841,1.9263138991290718e-07,4.334922404448891,0.09647274038004575,3.642554354686437,0.14784177912910992,0.16117834219344224,0.5496818418472635,6.603688836519787e-07,0.07915221529203412,0.00045233698896753277,0.053806304931640625,0.16098736065693597,1.3206661903338661,0.06977382512309452,0.20850942295253222,0.02498569303200738,4.3256623265718
75%,11.179958704287092,1.9458048045635223,5.3590921820462547e-05,10.115000992543333,1.1344512252406733,0.11097840357559696,0.5527065635030306,1.3888540135046272e-06,6.075526768773621,0.18519438219182421,4.520661528264717,0.24662913923183458,0.2333046870692091,0.763920591835302,5.99410867281973e-06,0.1332862770709979,0.0015665127111388342,0.10940539836883545,0.24491435089373423,1.388466483038589,0.12122288515693141,0.2950304362690404,0.2365822444457695,5.699856203230221
max,19.251631268871936,1.9999998807907104,0.01979582175195383,13.235328067238532,2.467382223900081,0.679369468428056,1.442969681472965,0.0027435249692965833,1004.1161887475372,0.7966555285284659,7.545558055739489,0.7423030633418324,0.6959414249910562,2.376166812615881,0.006876291793821979,0.6180733961902711,0.10231205782270605,0.9567198157310486,0.7812636559625339,3.6443102148750275,0.7224796007051045,0.8291332793208164,13.352770179276513,55.9374385526745
