,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30
count,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0
mean,3.60885328995997,7.9814952950442235,1.1714918166399002,0.0527383911983217,3.53181662290365e-05,0.4037385839295295,0.6842722135060575,0.000289426170760818,0.14949343321333838,7.552366208697918,3.7236144123342703,0.1732346482535147,0.4734012359749868,2.69690123799051e-05,0.11329104579020108,0.1637768319901953,1.3590987887727564,0.16158793409630348,7.128231473684863e-05,0.07800649325465345,0.10049416014885065,0.06161342124761232,0.4093681352736184,0.08681526415877872,0.0020863683578096234,5.134707244600871,0.14964366986500485,7.289365601345916,2.2199024768368406e-05,0.11208989230563246
std,7.647834363299606,2.327437898181867,0.6556483508827579,0.11433881597701466,0.00016948706800908872,0.2573476384076009,0.6887915154316993,0.001549001023372723,0.11480751129058188,32.15633285612682,1.1226250181091673,0.1390771299011055,0.46322350457600614,0.00016479856828493136,0.20183547626243228,0.1559582438947566,0.15505660047239986,0.21465574134225604,0.0003626422834588275,0.0968238720876451,0.667894984580404,0.12638792306706426,0.3554767513421284,0.0747797308047074,0.0062310429952544205,3.506417486121957,0.11491321155718982,6.924374370716494,0.00017281620585913736,0.08958116067195064
min,-13.217049832729982,1.2931780699652256,0.08172595500946045,-0.47644240888696754,1.0744354711236932e-09,-0.6727368991745285,-2.3995964262128924,5.426066817444495e-08,0.004736226979116428,1.4160786675266126,0.5166737723410252,-0.4994788890802475,-1.6042691818959818,6.02943787584416e-10,-0.6731083279680868,-0.7931156580033631,1.1079643039044227,-0.8313287293658042,6.095504005816265e-09,-0.3488156900447794,-3.2583958403850786,-0.5504297793587127,-0.8775826312415969,0.0011353492736816406,8.720694765579939e-07,1.255218465933451,0.004736231034190285,1.3907372538559335,3.443372704312893e-10,0.0017808739439126864
25%,-3.0303168062936985,6.18930609764363,0.5624218285083771,0.006079105609052379,5.276818300038216e-08,0.2699398997375335,0.33773414980689564,1.5129021884361682e-06,0.06750559654661575,3.3677843465584574,2.8776484882341395,0.10190185337828171,0.2545894821323243,2.000887903588438e-08,-0.002710688613923833,0.0791648438210742,1.278554514863714,0.07341197198786117,1.9549647449228606e-07,0.02785545400171009,-0.10319219870591882,0.009048908631508656,0.2345596583504934,0.0367303192615509,0.00017102191359210696,3.3585145519852038,0.06752835738133783,4.362383630320322,8.495627371390755e-09,0.048672378403029966
50%,1.1137258366119336,7.652879845623339,1.0484156012535095,0.06460024198095182,2.3414921856417226e-07,0.4000153234390705,0.7993135718317245,7.147247528145812e-06,0.10793981660607425,4.335605619849574,3.65294012665569,0.16395641007176492,0.547275052379123,9.474964336476931e-08,0.15624509483259796,0.1636040539280264,1.3208926489400015,0.21284382999225374,7.288958437172422e-07,0.07002133377687575,0.016315661483393716,0.07683663027985652,0.43727222142949984,0.06061595678329468,0.0005021021983499021,4.2980714167955405,0.10819540375165845,5.694902604572707,5.0246783813429344e-08,0.07913215446011132
75%,11.286034833631167,10.10933588467273,1.99993896484375,0.10697602002840476,1.4127516441979213e-06,0.5247931576221575,1.1635100823294566,5.313607833844174e-05,0.199623104777072,6.102907199911498,4.497628344391161,0.24269101167665935,0.7654416849542772,6.649455802340825e-07,0.24827388081993693,0.2496011425428094,1.3902025223280083,0.28741376039359096,5.91881790930711e-06,0.12278610614417565,0.20587867590532072,0.12768430810313602,0.594501248887804,0.11730164289474487,0.0016069398851817599,5.6674327247072265,0.1996290508199284,7.869247440078857,5.162726657038957e-07,0.14743500320117564
max,19.251631268871936,13.235328067238532,1.9999998807907104,0.679369468428056,0.0027435249692965833,1.1859918699132124,2.467382223900081,0.01979582175195383,0.7966555285284659,1004.1161887475372,7.545558055739489,0.6959414249910562,2.376166812615881,0.0035579334809938004,0.7423030633418324,0.7812636559625339,3.6443102148750275,0.7801896963452681,0.006876291793821979,0.7224796007051045,13.352770179276513,0.6180733961902711,1.5141991977091738,0.9567198157310486,0.10231205782270605,55.9374385526745,0.796674066817798,148.76458177108947,0.004237115185086631,0.7190207459508143
