,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,7.779883942141394,2.312505754123092,3.684177420667044,0.6804300099417709,0.5077897586941653,0.46625609794011347,0.4388442823837658,0.16708431804673682,0.08826078639525604,0.14814194175616313,0.15573376524298083,0.06729345689158861,0.05512061067220421,0.06997959453898758,0.001858961900681316,0.00027945839679688404,6.890943893356208e-05,2.982983235119627e-05,2.8280358683830088e-05,2.6469286578058417e-05,6.091709216320673e-06,3.5063267309585965e-06,3.566007224076663e-06,3.1630524727379256e-06,2.429303422728353e-06,1.879666310019782e-06,1.406069229853844e-06,1.2207713231047865e-06,2.526883940998326e-06,3.041517321306703e-06,1.5161603245887477e-06,1.234024730084182e-06,9.871238166354685e-07,7.04756364339301e-07,4.820005249451412e-07,4.1841755394765964e-07,3.744011034453671e-07,3.6148153414230316e-07,8.293756069637288e-07,1.4219163973321269e-06,6.327512766128311e-07,4.955174216501573e-07,2.912621622560985e-07,3.8824128886282027e-07,2.8065382496079515e-07,3.1096021207703294e-07,1.3851760684911826e-07,1.0222439074621182e-07,6.68849586577924e-08,7.433421153056894e-08,5.0733043204811335e-08,4.7914706257666835e-08,3.7067968512133485e-08,3.327872413649723e-08,2.152183272401467e-08,2.174141007625208e-07,4.8712287732627154e-08,-0.00027897247908066343,0.11486500050323076,0.14354129444055097,6.9934236514678885,0.11513478188556908,0.085494347374433,0.06578498054295778,0.9220105959102511,5.249557649788764,1.3658219612046696,7.493622851301842
std,2.3715090282868734,7.89328475096191,1.13280060039514,0.6733547685295619,0.4085410807675608,0.2955716901673615,0.25616349158620966,0.22104900522714804,0.21374805194155946,0.14894636245298215,0.11453252564535181,0.12852243750655948,0.09648823738131454,0.09735125236291059,0.005080181951151112,0.0016673219854763685,0.00038106615066509433,0.00015609696883930478,0.0003103599672853417,0.0003838283000292471,4.5437582046214996e-05,2.033414536160197e-05,2.462316554354872e-05,2.5218043139871258e-05,1.9530976675668947e-05,1.55422169230645e-05,1.1025692095203623e-05,8.937301369930292e-06,3.29634817573976e-05,4.1685528653058244e-05,1.3586815764336756e-05,1.2117030666986892e-05,8.359517239882206e-06,4.861452669098679e-06,3.184676773661154e-06,3.0994816746178575e-06,3.20290322160636e-06,3.789162639654547e-06,1.201209190171729e-05,1.681390262254493e-05,6.350725824850179e-06,7.581812208448117e-06,3.4354544410138297e-06,4.500566388110329e-06,2.450108192199071e-06,2.8923569008210498e-06,1.4068548558783692e-06,1.5716261906182742e-06,8.629280255616576e-07,1.0906197455564447e-06,6.736146642623218e-07,7.142645622586149e-07,4.4688007794125467e-07,4.6288937974171796e-07,2.760284439530437e-07,2.5448599065731224e-06,5.14314769466368e-07,0.011449187983359144,0.1141545265617427,0.6682982570460421,10.411014192727777,0.11445588076315384,0.08860100083572532,0.07613054283889886,0.6961340573332465,3.1854274801948397,0.17458781582786356,5.772189865315119
min,3.1223751872460173,-12.24211880591305,0.7251273681327312,-1.7246667005114535,-1.0001076761269774,-0.8019936726757584,-0.3435172276559624,-0.8947536622110202,-0.9357487438940296,-0.4315852108193934,-0.39971846945352224,-0.9558198811959423,-0.24906281858942717,-0.30437854112842005,1.61145051814912e-05,7.534613901675805e-08,6.053606959039028e-09,1.6001273079153871e-09,7.715051668741286e-10,3.631460060855946e-10,2.2956773525943481e-10,1.8424596032128693e-10,1.3497770527883374e-10,7.074969597109779e-11,8.950286002462342e-11,7.281698366300949e-11,6.073816105544886e-11,5.382166953543157e-11,4.333851323898701e-11,3.833459686646366e-11,2.7155361874287305e-11,1.6106670740116994e-11,1.654079536661783e-11,1.6017866043446407e-11,1.3930529049615402e-11,1.2627251464346528e-11,1.2771890550180951e-11,1.1847809929059928e-11,1.1356350506716369e-11,4.241534629930959e-11,3.057374514263533e-11,2.3319264357042332e-11,1.942385959457507e-11,1.516304877026085e-11,1.3975154238275632e-11,1.1844532429138895e-11,1.0290114393507206e-11,9.574495569675322e-12,9.407703012943929e-12,7.91460145669994e-12,7.618449278742872e-12,6.854010044940641e-12,6.002528652651035e-12,6.767529143459804e-12,5.828304903369592e-12,4.404505066989129e-11,3.260773286977452e-11,-0.16033221939463674,0.0024438602141712345,-3.2583958403850786,1.4160786675266126,0.0024438743653569612,0.0018788909270805465,0.0014930367469787598,0.024818062782287598,1.255218465933451,1.1079643039044227,1.3907372538559335
25%,5.785695687546264,-4.234767209898948,2.7596480028883095,0.4270380825429868,0.3305243801907085,0.281108361313321,0.28430469041490636,0.0368254369850257,-0.036850714732660245,0.06682178764346383,0.09377213755358746,0.017731135534215733,-0.007006192048782482,0.016015571013711268,0.00014818154529041351,7.526037247234638e-07,1.1438073622638698e-07,3.430569379505909e-08,1.2572597457366122e-08,6.771662386987937e-09,3.4605009461362837e-09,2.0173738071998206e-09,1.4423499419174965e-09,1.0748938582498461e-09,8.627460923478919e-10,6.537972872339517e-10,5.613018116943913e-10,5.010932859748078e-10,3.6127292482289214e-10,2.453392597695261e-10,1.8566360719374762e-10,1.516633738529132e-10,1.3726909885293172e-10,1.1657578090801513e-10,1.0393173034068256e-10,9.47257867141399e-11,8.612994858548814e-11,8.215389250013817e-11,7.206070704926814e-11,2.9264214116623704e-10,2.091223277748176e-10,1.647417120985583e-10,1.3570716118575648e-10,1.1467780088617792e-10,9.749407891039607e-11,8.328924053453287e-11,7.517227562059731e-11,6.511781138995733e-11,6.161455051257535e-11,5.21709238039757e-11,5.056942685478388e-11,4.474431152245074e-11,4.2340925250990066e-11,3.765638238587794e-11,3.720750517008014e-11,2.546272670419276e-10,1.7025796982543423e-10,-0.0004803469218763638,0.040647995271076806,-0.09159059097325084,3.4339652994496404,0.04064991825369,0.02919223005444799,0.0211334228515625,0.3053358793258667,3.4858795691826723,1.281776885923081,4.503997645851186
50%,6.875277055802769,-1.6960874820151859,3.6237313798235897,0.794311405509758,0.5566811240160041,0.47259302094930755,0.42784572974013213,0.19375569025755154,0.1145819754968549,0.153493891939196,0.15757154376488036,0.08451312269651928,0.06391870164627517,0.06843224420130112,0.0003549023278021572,3.6015124788096287e-06,5.164619385690311e-07,1.604033685553222e-07,5.789686114708266e-08,2.5118074936071738e-08,1.2538200138977692e-08,6.195312961753858e-09,4.909466653894545e-09,3.808460735327512e-09,2.802986384409645e-09,2.3662632183936826e-09,2.3653719124757033e-09,2.1773281578778545e-09,1.7078189767600357e-09,1.2566425583455523e-09,8.962259137988866e-10,6.859397170891099e-10,5.072512512143287e-10,4.0603797208855136e-10,3.5615337014602455e-10,3.119171961221478e-10,2.63281984359287e-10,2.543707124802009e-10,2.4051775421026176e-10,9.316559490122504e-10,6.764464501213894e-10,5.492650589818652e-10,4.376307338579278e-10,3.666430637669285e-10,4.0117915073512926e-10,2.7100399188091926e-10,2.5661317790549127e-10,2.2043449335322759e-10,2.6140755693516676e-10,1.9050639727379813e-10,1.831900668740699e-10,1.6894829667659768e-10,1.8080060076590542e-10,1.6462245224655373e-10,1.609821102752243e-10,1.2326100946666219e-09,9.334856768950295e-10,8.281760745578343e-06,0.07888165140962555,0.060068889872805634,4.301916377139506,0.07889428498580905,0.05597926298676524,0.0410308837890625,0.6716002225875854,4.414489716506504,1.320235282689719,5.798242722814225
75%,10.115325122030043,10.914615148810872,4.554908729916013,1.084214444639828,0.7545553434106012,0.6569751222055884,0.5904057157818777,0.31465903811362916,0.24222646746249232,0.23296668551960537,0.2161180654739191,0.13915900536015194,0.1216991634648379,0.11984991740587259,0.0014287821016755445,5.4340523727126295e-05,6.120333610185109e-06,1.2897517793568997e-06,4.7078062119378633e-07,2.2477323219332886e-07,1.3005324982049714e-07,8.556258873303798e-08,6.028351350270204e-08,3.59803500637375e-08,2.7781219661579076e-08,2.635931755520223e-08,2.4833721929177213e-08,2.010697726182807e-08,1.447162857293366e-08,9.612458644164699e-09,6.401673660838206e-09,5.212144499779696e-09,4.5409707013610435e-09,3.585452228998032e-09,3.2282183348737387e-09,2.929615239709213e-09,2.6595394906695114e-09,2.468705246889236e-09,2.2247566330076276e-09,9.030021471172909e-09,6.691934206432901e-09,5.086218522379193e-09,4.213957049802365e-09,3.4989456417469134e-09,2.998035533853645e-09,2.6088540479888652e-09,2.289115933750785e-09,2.089229565933936e-09,1.9018061621718673e-09,1.663957667126728e-09,1.481448044655304e-09,1.354826831938994e-09,1.7929786836398756e-09,1.3723764321712796e-09,1.0603988593001536e-09,1.1035959489937476e-08,8.57010686524289e-09,0.000471587771593115,0.13460422159614566,0.2881702458491317,5.900889188011411,0.1346134475005787,0.10212429782534338,0.08080121874809265,1.669708251953125,5.769990257927475,1.3840041139672683,7.932818517811846
max,12.998118072411417,16.549099794833502,7.05756429892308,2.229691525829956,1.5733965578083278,1.471513107947477,1.442969681472965,0.8291332793208164,0.607282206756153,0.6373581643826158,0.5847363295900154,0.4071547834573226,0.4151708695613536,0.7151853994160445,0.055612178547688275,0.017124245020038325,0.004446666548216494,0.0015876703688742556,0.006772511899585746,0.008585510700291746,0.0008576233645774355,0.00024274949233176187,0.0003170859014168576,0.0004259274252871261,0.00030719953607285405,0.00027732154463718314,0.000198797048520147,0.00014936735059885436,0.000718055575471814,0.0009113221709050805,0.0002662587363378679,0.00025577420041938834,0.00016636506053137716,7.492016802999657e-05,4.642551778044406e-05,4.139967587678396e-05,5.9524093861357056e-05,7.946474734220899e-05,0.00025153735327311635,0.0003476782590943441,0.00013004102462051267,0.00016946361282035822,7.2962615343237e-05,9.357894511132551e-05,4.601591279665902e-05,5.466077606786323e-05,2.964921142381964e-05,3.5276109100906355e-05,1.878972803944365e-05,2.4190084463864905e-05,1.4511206426252962e-05,1.569078920188079e-05,9.415338363869852e-06,1.0183595667548433e-05,5.999571614292524e-06,5.115843910195928e-05,1.0649594826661692e-05,0.15026095878229606,0.7966555285284659,6.23042747599823,138.46903313672817,0.796674066817798,0.7190207459508143,0.9567198157310486,1.9999998807907104,27.001019763860132,3.6443102148750275,40.57021350537037
