,F1,F2,F3,F4,F5,F6,F7
count,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0,1592.0
mean,3.191937499540069,7.916655462954871,7.051917880011326e-05,3.710931158732751,0.16335561536679463,3.3553073926615516e-05,0.48446086137210953
std,7.748848837182906,2.3428506276092196,0.00036854962064137474,1.1257022426452554,0.21667809581728828,0.00016526996904295992,0.44652942128770906
min,-13.217049832729982,1.2931780699652256,6.053606959039028e-09,0.5166737723410252,-0.8947536622110202,1.0744354711236932e-09,-1.6042691818959818
25%,-3.638552780321742,6.0240052686284,1.6621353791658848e-07,2.8397201996596024,0.0548675101272595,4.702144207820955e-08,0.27332781157879327
50%,0.7302250172897035,7.466977617847297,6.603688836519787e-07,3.642554354686437,0.20850942295253222,1.9263138991290718e-07,0.5496818418472635
75%,11.179958704287092,10.115000992543333,5.99410867281973e-06,4.520661528264717,0.2950304362690404,1.3888540135046272e-06,0.763920591835302
max,19.251631268871936,13.235328067238532,0.006876291793821979,7.545558055739489,0.8291332793208164,0.0027435249692965833,2.376166812615881
