,F1,F2,F3,F4
count,1592.0,1592.0,1592.0,1592.0
mean,3.191937499540069,3.3553073926615516e-05,7.916655462954871,1.0912566501740835
std,7.748848837182906,0.00016526996904295992,2.3428506276092196,0.6788005414250932
min,-13.217049832729982,1.0744354711236932e-09,1.2931780699652256,0.024818062782287598
25%,-3.638552780321742,4.702144207820955e-08,6.0240052686284,0.47640979290008545
50%,0.7302250172897035,1.9263138991290718e-07,7.466977617847297,0.9280121922492981
75%,11.179958704287092,1.3888540135046272e-06,10.115000992543333,1.9458048045635223
max,19.251631268871936,0.0027435249692965833,13.235328067238532,1.9999998807907104
